group,step,hypoglycemia_medical,hypoglycemia_any,amputation,macroalbuminuria,microalbuminuria,blindness,ulcer,mi,stroke,chf,angina,dialysis,egfr_60,egfr_30,revasc,neurop,laser_retina,death,count_surviving
intervention--0001,1,119,22,2,42,196,32,62,41,20,5,53,4,45,14,75,874,76,118,9882
intervention--0001,2,231,48,2,78,374,94,125,115,45,8,110,5,91,26,154,1611,156,245,9755
intervention--0001,3,322,77,2,129,610,156,199,170,67,22,150,12,188,41,260,2495,221,391,9609
intervention--0001,4,412,106,3,176,867,221,256,228,104,28,197,13,263,54,364,3322,291,537,9463
intervention--0001,5,516,142,5,223,1159,306,342,283,136,43,256,22,359,68,468,4085,372,694,9306
intervention--0001,6,610,170,10,282,1388,387,428,333,162,58,315,28,475,85,578,4744,433,897,9103
intervention--0001,7,733,207,13,347,1628,455,516,386,183,73,362,39,596,95,671,5348,504,1087,8913
intervention--0001,8,840,260,16,419,1882,547,598,457,209,97,409,47,708,115,767,5869,574,1298,8702
intervention--0001,9,961,311,19,491,2117,629,690,506,241,120,453,51,830,138,858,6342,650,1498,8502
intervention--0001,10,1081,348,20,559,2357,721,772,552,273,153,505,60,967,153,952,6754,732,1728,8272
intervention--0001,11,1189,392,23,627,2583,815,866,599,303,187,542,72,1089,180,1057,7129,805,1936,8064
intervention--0001,12,1303,432,25,714,2787,896,948,648,332,216,586,82,1224,209,1152,7410,869,2139,7861
intervention--0001,13,1402,479,26,803,2996,996,1038,696,357,253,630,99,1365,228,1262,7664,939,2407,7593
intervention--0001,14,1488,525,30,879,3167,1078,1131,753,379,289,679,112,1478,250,1347,7906,1020,2676,7324
intervention--0001,15,1581,573,35,972,3370,1160,1207,816,410,323,729,132,1599,273,1446,8109,1079,2970,7030
intervention--0001,16,1686,615,35,1053,3563,1257,1307,869,434,368,778,143,1705,299,1539,8267,1156,3266,6734
intervention--0001,17,1779,654,38,1167,3738,1346,1398,916,461,408,820,161,1834,325,1626,8429,1225,3579,6421
intervention--0001,18,1878,695,46,1267,3913,1437,1485,960,490,434,864,182,1945,350,1718,8555,1296,3929,6071
intervention--0001,19,1987,750,48,1370,4066,1521,1572,1008,519,472,918,200,2061,378,1812,8676,1353,4255,5745
intervention--0001,20,2093,795,53,1460,4213,1626,1672,1064,557,518,948,217,2178,407,1903,8773,1428,4600,5400
intervention--0001,21,2199,846,60,1566,4379,1702,1770,1127,588,551,995,234,2300,434,2001,8853,1501,4942,5058
intervention--0001,22,2307,898,66,1676,4546,1791,1865,1175,624,585,1031,247,2420,463,2079,8930,1578,5254,4746
intervention--0001,23,2401,950,75,1786,4689,1883,1957,1227,662,638,1081,264,2535,489,2148,8996,1632,5589,4411
intervention--0001,24,2488,1010,80,1874,4808,1969,2049,1283,694,678,1119,283,2620,508,2242,9058,1699,5962,4038
intervention--0001,25,2586,1073,83,1979,4935,2066,2139,1341,725,729,1149,300,2722,541,2319,9095,1751,6311,3689
intervention--0001,26,2677,1119,86,2075,5056,2145,2224,1395,753,776,1176,319,2799,572,2398,9138,1835,6654,3346
intervention--0001,27,2771,1159,90,2172,5155,2206,2315,1442,786,813,1215,345,2901,600,2496,9187,1893,6980,3020
intervention--0001,28,2869,1220,99,2256,5223,2273,2426,1490,817,867,1253,366,2996,633,2578,9221,1956,7297,2703
intervention--0001,29,2964,1271,107,2357,5317,2350,2515,1554,849,921,1297,379,3082,661,2667,9261,2015,7596,2404
intervention--0001,30,3056,1319,113,2446,5409,2405,2597,1594,872,967,1338,398,3165,695,2770,9290,2072,7884,2116
intervention--0001,31,3167,1369,121,2534,5487,2468,2675,1647,908,1023,1365,419,3251,731,2876,9316,2133,8173,1827
intervention--0001,32,3250,1434,132,2636,5566,2536,2740,1692,946,1079,1402,436,3325,773,2946,9332,2185,8412,1588
intervention--0001,33,3337,1487,141,2738,5648,2608,2816,1727,977,1148,1434,454,3417,799,3014,9354,2241,8683,1317
intervention--0001,34,3416,1534,147,2828,5709,2677,2901,1767,1010,1210,1466,472,3500,829,3108,9369,2294,8913,1087
intervention--0001,35,3501,1584,154,2916,5763,2757,2978,1797,1036,1273,1500,491,3579,877,3191,9377,2359,9083,917
intervention--0001,36,3580,1635,164,3008,5818,2828,3054,1848,1071,1326,1535,517,3624,907,3283,9388,2414,9236,764
intervention--0001,37,3683,1685,172,3095,5863,2881,3133,1898,1097,1387,1559,540,3687,950,3353,9396,2459,9386,614
intervention--0001,38,3769,1737,176,3176,5922,2933,3211,1941,1120,1443,1592,562,3746,987,3448,9402,2521,9494,506
intervention--0001,39,3856,1775,183,3274,5979,2979,3280,1983,1155,1508,1621,577,3804,1026,3512,9412,2561,10000,0
non-intervention--0001,1,141,34,2,53,339,38,71,60,35,5,69,4,52,14,107,1043,107,161,9839
non-intervention--0001,2,299,65,3,103,654,112,153,150,66,11,137,6,105,26,209,1896,218,310,9690
non-intervention--0001,3,423,98,8,192,1007,183,243,219,96,26,184,16,218,43,345,2875,307,474,9526
non-intervention--0001,4,547,138,12,277,1350,258,332,295,137,36,242,18,317,56,482,3777,407,649,9351
non-intervention--0001,5,672,177,16,349,1691,353,428,357,173,55,306,26,425,76,607,4533,512,822,9178
non-intervention--0001,6,794,217,22,423,1973,440,535,419,211,77,373,34,555,88,736,5217,598,1035,8965
non-intervention--0001,7,937,260,28,527,2264,515,625,484,248,94,429,47,685,98,847,5817,691,1252,8748
non-intervention--0001,8,1064,310,33,626,2581,609,708,562,287,127,481,55,789,124,970,6345,769,1459,8541
non-intervention--0001,9,1201,371,36,737,2849,692,798,631,331,165,544,64,933,143,1079,6810,855,1690,8310
non-intervention--0001,10,1338,412,42,846,3084,780,897,694,369,200,604,77,1074,157,1191,7209,962,1925,8075
non-intervention--0001,11,1461,463,50,961,3310,878,994,754,405,240,652,91,1207,177,1315,7523,1046,2188,7812
non-intervention--0001,12,1581,512,52,1066,3541,984,1084,813,438,270,706,103,1349,202,1410,7768,1114,2437,7563
non-intervention--0001,13,1698,567,57,1177,3772,1090,1168,878,473,314,756,123,1489,226,1539,8002,1200,2710,7290
non-intervention--0001,14,1805,612,64,1287,3964,1179,1267,941,506,353,820,143,1621,245,1657,8188,1289,2979,7021
non-intervention--0001,15,1917,659,73,1410,4166,1273,1344,1011,546,402,877,164,1750,271,1761,8354,1347,3267,6733
non-intervention--0001,16,2024,706,76,1515,4364,1375,1458,1068,574,452,921,183,1875,294,1861,8511,1437,3598,6402
non-intervention--0001,17,2139,756,81,1646,4532,1463,1559,1124,608,503,968,201,2008,324,1956,8654,1518,3932,6068
non-intervention--0001,18,2246,794,90,1751,4682,1556,1643,1177,641,546,1023,223,2116,349,2058,8759,1597,4260,5740
non-intervention--0001,19,2353,854,92,1881,4799,1656,1732,1236,678,597,1075,241,2239,386,2165,8861,1673,4578,5422
non-intervention--0001,20,2466,904,96,1994,4940,1753,1831,1306,717,644,1112,258,2377,414,2267,8943,1754,4920,5080
non-intervention--0001,21,2568,949,106,2108,5065,1819,1924,1368,745,685,1153,285,2495,448,2370,9013,1820,5246,4754
non-intervention--0001,22,2682,1007,115,2226,5180,1901,2018,1418,790,744,1183,305,2604,475,2477,9072,1900,5614,4386
non-intervention--0001,23,2779,1064,123,2333,5303,2002,2122,1485,830,805,1230,333,2702,504,2566,9123,1958,5915,4085
non-intervention--0001,24,2872,1132,129,2443,5412,2091,2204,1553,858,851,1270,356,2796,535,2663,9164,2017,6234,3766
non-intervention--0001,25,2972,1195,136,2557,5514,2180,2301,1608,894,925,1296,383,2914,554,2752,9207,2093,6598,3402
non-intervention--0001,26,3073,1251,144,2659,5615,2255,2396,1660,928,972,1324,406,2995,592,2840,9238,2173,6931,3069
non-intervention--0001,27,3187,1298,150,2778,5695,2335,2487,1711,963,1020,1366,426,3074,625,2937,9265,2227,7234,2766
non-intervention--0001,28,3281,1337,163,2873,5752,2418,2565,1766,999,1072,1400,448,3142,660,3040,9296,2298,7576,2424
non-intervention--0001,29,3390,1383,177,2996,5843,2498,2663,1824,1023,1128,1443,468,3234,694,3146,9317,2367,7884,2116
non-intervention--0001,30,3488,1438,187,3108,5922,2558,2758,1879,1042,1186,1479,489,3315,726,3245,9331,2434,8163,1837
non-intervention--0001,31,3600,1492,198,3210,5982,2620,2831,1940,1081,1248,1509,507,3409,777,3343,9350,2475,8415,1585
non-intervention--0001,32,3694,1551,213,3330,6017,2695,2913,1972,1122,1303,1542,524,3493,824,3436,9359,2530,8653,1347
non-intervention--0001,33,3799,1595,221,3424,6067,2757,3004,2015,1155,1362,1570,545,3566,866,3517,9364,2593,8899,1101
non-intervention--0001,34,3882,1648,225,3512,6110,2828,3088,2071,1189,1426,1598,573,3634,894,3606,9377,2644,9066,934
non-intervention--0001,35,3972,1703,231,3602,6166,2885,3171,2107,1225,1502,1630,587,3689,934,3697,9383,2716,9242,758
non-intervention--0001,36,4050,1761,244,3679,6214,2947,3248,2150,1264,1558,1656,609,3750,975,3769,9393,2768,9381,619
non-intervention--0001,37,4152,1808,251,3767,6261,3016,3317,2188,1292,1615,1690,638,3809,1017,3851,9403,2814,9496,504
non-intervention--0001,38,4225,1855,259,3858,6291,3076,3395,2220,1318,1670,1721,660,3857,1053,3953,9407,2856,9612,388
non-intervention--0001,39,4313,1898,265,3935,6338,3128,3469,2270,1356,1738,1746,682,3905,1088,4023,9410,2894,10000,0
